"","AIM2","APIP","BAK1","BAX","CASP1","CASP3","CASP4","CASP5","CASP8","CHMP2A","CHMP2B","CHMP3","CHMP4A","CHMP4B","CHMP4C","CHMP6","CHMP7","CYCS","DHX9","ELANE","GSDMA","GSDMB","GSDMC","GSDMD","GZMA","GZMB","IL18","IL1A","IL1B","IRF1","IRF2","NAIP","NLRC4","NLRP1","NLRP9","TP53","TP63","ZBP1"
"AIM2",1,0.130616335826489,0.308932480191783,0.240347505576315,0.643611818610763,0.276306525808552,0.445848294599846,0.703979759943011,0.28562508345909,-0.0398113400320223,0.268084529045367,0.264929401998241,0.171144508712077,0.310224809964528,0.0716172970500895,-0.012182170143276,0.296248795797839,0.0847102117178158,0.208167047179933,0.0839717998382358,0.630368113180146,0.0600646333901065,0.229626038664558,0.123402388045181,0.713089124547949,0.687014340900822,0.613624404290979,0.285096222429433,0.513472372823145,0.551772582601101,0.263560260919276,0.486910692163445,0.671619538015792,0.389700269956474,-0.0325890535670189,0.233978794460106,0.136622560355669,0.792179318429159
"APIP",0.130616335826489,1,0.388472927857183,0.288893619095197,0.0998727684624899,0.417591954507812,0.128264757002637,0.179286830066763,0.4784782110749,0.0924420766883112,0.449585562711352,0.392643302527498,-0.00075020082058498,0.300421922432996,0.292764500713451,0.269276273881133,0.143694976688822,0.234956870209015,0.620725428367284,-0.000530827761437769,0.157409541740553,0.184896250132378,0.267289210166085,0.183430919113733,-0.0444217438996452,0.0483345830847067,0.0201295462808198,0.154928172059807,0.0387891474679445,0.106409886611613,0.38209385279804,0.153825269224176,0.115218624718191,0.163414488820655,0.161121420106433,0.226514919970134,0.168800060790153,0.0645829703347068
"BAK1",0.308932480191783,0.388472927857183,1,0.568811717807969,0.262211262819927,0.514396313309527,0.48459325112334,0.383781762421591,0.528863805771412,0.249236329328746,0.47670584221234,0.694542238754922,0.327496508546142,0.697890284168208,0.550562199938308,0.330714975185784,0.331870079386535,0.540902503648288,0.553654491559312,-0.026806868361183,0.35043875139449,0.156615533275993,0.29736183017284,0.331499047249452,0.190981547684582,0.224189241870906,0.404846667169265,0.314839872578881,0.230819601325868,0.358962149031013,0.145662974445648,0.354358254409383,0.351620291907412,0.219903994602634,0.156249201579942,0.301356441243343,0.0971582798150277,0.278684629998962
"BAX",0.240347505576315,0.288893619095197,0.568811717807969,1,0.178164261526335,0.338323647317926,0.38590212954127,0.24826420062602,0.265609731144479,0.545553977902161,0.143067591298952,0.509229332587309,0.45936953701821,0.699990047114512,0.427901322697623,0.467276103998453,0.233849769550762,0.283144358254699,0.386843834868969,-0.0211100874400804,0.266992754456811,0.247260342937461,0.196653341821282,0.545964881050221,0.238445826306134,0.247346501848676,0.366391744218211,0.216738763347113,0.0722118705143775,0.217461065470853,-0.0461505480552168,0.128317777021121,0.212139324312588,0.201253147346991,0.0877476241025987,0.451163303069427,0.0773724613512254,0.253648881367478
"CASP1",0.643611818610763,0.0998727684624899,0.262211262819927,0.178164261526335,1,0.344682864400466,0.600734055066871,0.536578538711635,0.342967094028829,-0.0456483213952329,0.337702464018684,0.259987285922028,0.154013838305424,0.275193392985046,0.0554495552963476,0.008513297890586,0.243049109487148,0.125286836231773,0.15355577892453,0.197179584128363,0.53386152306017,0.0570316422401388,0.273794243635868,0.0906271571520846,0.698125529814888,0.529420154222061,0.61274531129557,0.238559142636755,0.514685172844813,0.660288988800869,0.391645755408441,0.395564014939511,0.613400280197539,0.407116972571458,-0.0258208349614334,0.0969178089488183,0.0896991315166107,0.611551933218621
"CASP3",0.276306525808552,0.417591954507812,0.514396313309527,0.338323647317926,0.344682864400466,1,0.305010489448191,0.290974664398676,0.569424735142379,-0.0667938338986336,0.521570677721587,0.52747492248271,-0.0125856080962274,0.375210405910834,0.310570050518691,0.194177554817039,0.32364321399474,0.224304290054955,0.588213780801077,0.104876787219997,0.30686874238685,0.193840665457112,0.279442293920689,0.108830719743727,0.205826166635858,0.130687725918725,0.235674961328513,0.251630312868947,0.155021060620435,0.314548273540695,0.593090319431934,0.340360498837329,0.259373487563622,0.277894371753126,0.0750465891320819,0.282040757547304,0.138126080758497,0.275285043427802
"CASP4",0.445848294599846,0.128264757002637,0.48459325112334,0.38590212954127,0.600734055066871,0.305010489448191,1,0.438566971603061,0.39714834362076,0.13041956424657,0.325404166885451,0.445496885592773,0.274901642645771,0.503859683889543,0.365583147996671,0.0638786486593098,0.289577233223217,0.296798340048681,0.241392526319524,0.0493944228771889,0.412559341646642,0.093707041557945,0.210674666463537,0.176736815915356,0.424814076257709,0.361016776326761,0.579426692931065,0.221098044667702,0.409299460066186,0.546443704369973,0.173182324380453,0.401655357845964,0.494320290790529,0.265124796959932,0.0373968705712126,0.286147871947812,-0.0424921112367372,0.42000045637913
"CASP5",0.703979759943011,0.179286830066763,0.383781762421591,0.24826420062602,0.536578538711635,0.290974664398676,0.438566971603061,1,0.318967101496945,-0.0149748712582087,0.315707246543419,0.30447644595713,0.174353166042523,0.365471669805522,0.0955842811642508,0.0114234673034688,0.255176337155333,0.19262756921075,0.276393962050788,0.0514794941438679,0.623058788588786,0.0700044020918095,0.218379557836826,0.126707964992654,0.518314345406198,0.588512375179024,0.510081496565059,0.25723980834048,0.529725607548436,0.468761973867693,0.251687504559884,0.475524598088202,0.611736289942335,0.256765231170832,-0.0283209342897666,0.167439878439547,0.122949727808408,0.589110112147421
"CASP8",0.28562508345909,0.4784782110749,0.528863805771412,0.265609731144479,0.342967094028829,0.569424735142379,0.39714834362076,0.318967101496945,1,-0.0473635463668529,0.544165545234537,0.544135460975177,0.0752299098323169,0.367566560109261,0.363903863433902,0.154451844130977,0.344963713090186,0.264089681467006,0.634165592246319,-0.0105683453429376,0.287017560508016,0.36852431915345,0.309687183071489,0.0518040269504007,0.119257170481014,0.117439655010105,0.309642819088922,0.260726204392108,0.235814669997217,0.313562956222009,0.561981647960957,0.455583722458326,0.325034777564813,0.365371196098684,0.149467187281962,0.226342819151916,0.150347164915752,0.260578842605303
"CHMP2A",-0.0398113400320223,0.0924420766883112,0.249236329328746,0.545553977902161,-0.0456483213952329,-0.0667938338986336,0.13041956424657,-0.0149748712582087,-0.0473635463668529,1,-0.236117238073871,0.0906925977735022,0.459987322005342,0.483750051460165,0.186788371196556,0.444650097369359,0.0338405302969553,0.308618429974479,-0.136713197979589,-0.0575224171271041,0.0107819469323021,0.165929130774285,0.0590902704324658,0.495175665246348,0.117501867191843,0.105898125365154,0.0686380416928879,-0.0347654563274951,-0.206974806890376,0.0343543339589265,-0.332091117042066,-0.127857215446274,-0.0851351185499343,-0.0233748442597712,0.0256870698061762,0.0698506783229751,0.00172052821580465,0.0337513150251479
"CHMP2B",0.268084529045367,0.449585562711352,0.47670584221234,0.143067591298952,0.337702464018684,0.521570677721587,0.325404166885451,0.315707246543419,0.544165545234537,-0.236117238073871,1,0.553850431560825,-0.0305999169785233,0.327209298199132,0.359436566873167,0.0196233378923952,0.283508268920619,0.313278063816283,0.588770715228537,0.00841556074678668,0.283512692193797,0.0196357247063894,0.240389781337605,-0.0230101136200937,0.112443819734778,0.0866579660373589,0.257132723419723,0.252136582410776,0.315130189380576,0.326333410277959,0.394246942546881,0.381752483719302,0.318246344983451,0.260917795698361,0.0475573253809052,0.153627799991088,0.113996090445628,0.195462752911281
"CHMP3",0.264929401998241,0.392643302527498,0.694542238754922,0.509229332587309,0.259987285922028,0.52747492248271,0.445496885592773,0.30447644595713,0.544135460975177,0.0906925977735022,0.553850431560825,1,0.205195879340437,0.64210858940695,0.522154775361442,0.205112194454549,0.478968526868228,0.396499029102605,0.688191827569586,0.0395311128623861,0.34034195473044,0.0624179995305776,0.293406134417584,0.109997030040989,0.147845929684454,0.116356084902647,0.409001344734337,0.324528393188156,0.262395049778813,0.283776378072657,0.340961148208749,0.485590718328195,0.390449081809721,0.27766995848991,0.184704769050046,0.469241349960214,0.117125280546026,0.231641090230201
"CHMP4A",0.171144508712077,-0.00075020082058498,0.327496508546142,0.45936953701821,0.154013838305424,-0.0125856080962274,0.274901642645771,0.174353166042523,0.0752299098323169,0.459987322005342,-0.0305999169785233,0.205195879340437,1,0.467571861937373,0.149912080516546,0.272701732787643,0.118757269729796,0.232962760915802,-0.050696892960571,-0.0316014441909286,0.146696546915097,0.245290107660345,-0.011698802946182,0.306195737443494,0.285249946589361,0.242914677229856,0.354282087504192,0.193474403089706,0.0890748325883127,0.18040575590986,-0.232997761321037,0.0724491296617356,0.16482581983466,0.0995336842147487,0.0262638493270521,0.158263138438419,-0.0496877922187284,0.231834657731344
"CHMP4B",0.310224809964528,0.300421922432996,0.697890284168208,0.699990047114512,0.275193392985046,0.375210405910834,0.503859683889543,0.365471669805522,0.367566560109261,0.483750051460165,0.327209298199132,0.64210858940695,0.467571861937373,1,0.444583172630452,0.409125207611641,0.368450394190527,0.472423879104166,0.397370649824047,0.0633562121072515,0.348368283252571,0.185326088189685,0.219408848844632,0.371585787957047,0.256479764133079,0.266903827630906,0.451587958751845,0.331899137237441,0.216762930938864,0.354279103358539,0.0191875684093439,0.278469741828765,0.319063051008309,0.207052432478674,0.121926950010173,0.289156694762657,0.0488526347219696,0.291330928440428
"CHMP4C",0.0716172970500895,0.292764500713451,0.550562199938308,0.427901322697623,0.0554495552963476,0.310570050518691,0.365583147996671,0.0955842811642508,0.363903863433902,0.186788371196556,0.359436566873167,0.522154775361442,0.149912080516546,0.444583172630452,1,0.222990125171324,0.123918168324771,0.234713178696823,0.416932212589559,-0.0886580965839231,0.124998992696362,0.219156082704058,0.17100171155531,0.452430688810543,0.0195936451643843,0.0209561892655554,0.24375937237573,0.257185368483894,0.0490989139534522,0.252714104035513,0.0052796352408844,0.168073704216093,0.0767607085569179,0.123734181607795,0.160895722605199,0.299475412477286,-0.00817895595831176,0.104780534678824
"CHMP6",-0.012182170143276,0.269276273881133,0.330714975185784,0.467276103998453,0.008513297890586,0.194177554817039,0.0638786486593098,0.0114234673034688,0.154451844130977,0.444650097369359,0.0196233378923952,0.205112194454549,0.272701732787643,0.409125207611641,0.222990125171324,1,0.123843179021954,0.0278450845229749,0.185848800495892,-0.0572382254948186,0.0352279951533749,0.17536705857497,0.0530615574967767,0.452022718288654,0.00242478403645601,0.0267932470088397,0.0106587998498073,0.0708824875327664,-0.136744625372058,0.0775411561174745,0.0205063463318426,-0.107815532941764,-0.0510453821832615,0.0298349491575748,0.0313818989491451,0.055490634631075,0.109667179573734,0.0623400499417122
"CHMP7",0.296248795797839,0.143694976688822,0.331870079386535,0.233849769550762,0.243049109487148,0.32364321399474,0.289577233223217,0.255176337155333,0.344963713090186,0.0338405302969553,0.283508268920619,0.478968526868228,0.118757269729796,0.368450394190527,0.123918168324771,0.123843179021954,1,0.235118720491941,0.37658029545734,-0.00420122379550538,0.205411678809466,-0.0175003439271075,0.147536171941269,-0.0379504666043652,0.171653480792525,0.210971058563458,0.323590137760872,0.154155201500432,0.212540904248338,0.230772128369884,0.268115651890686,0.319769024079095,0.344501728395377,0.229444639326728,0.0870324380148116,0.245766768510596,0.101769175405638,0.247151825773938
"CYCS",0.0847102117178158,0.234956870209015,0.540902503648288,0.283144358254699,0.125286836231773,0.224304290054955,0.296798340048681,0.19262756921075,0.264089681467006,0.308618429974479,0.313278063816283,0.396499029102605,0.232962760915802,0.472423879104166,0.234713178696823,0.0278450845229749,0.235118720491941,1,0.206795385284627,-0.0086370084974639,0.13663795107572,0.0184382057383989,0.202664446269221,0.113403321635466,0.0627528386724627,0.0958665485185178,0.156643165279038,0.115917956434855,0.00120565144886884,0.131873252691711,-0.075395814110799,0.195080051920463,0.169577047883615,0.0952250732338816,0.105803854662783,0.0170283335139211,-0.0653241859014904,0.0282611173269836
"DHX9",0.208167047179933,0.620725428367284,0.553654491559312,0.386843834868969,0.15355577892453,0.588213780801077,0.241392526319524,0.276393962050788,0.634165592246319,-0.136713197979589,0.588770715228537,0.688191827569586,-0.050696892960571,0.397370649824047,0.416932212589559,0.185848800495892,0.37658029545734,0.206795385284627,1,0.0074293809128193,0.212688257045774,0.142722497764132,0.220555293148862,0.0599497754091596,-0.0366225138278735,0.0481899696784639,0.172534715754644,0.254225658424603,0.181194993616053,0.191498747200343,0.498340139139373,0.370959237037582,0.263764234042677,0.253831667796995,0.183597603410947,0.425340546929801,0.178043330083524,0.162450849181532
"ELANE",0.0839717998382358,-0.000530827761437769,-0.026806868361183,-0.0211100874400804,0.197179584128363,0.104876787219997,0.0493944228771889,0.0514794941438679,-0.0105683453429376,-0.0575224171271041,0.00841556074678668,0.0395311128623861,-0.0316014441909286,0.0633562121072515,-0.0886580965839231,-0.0572382254948186,-0.00420122379550538,-0.0086370084974639,0.0074293809128193,1,0.109018982512094,-0.0109294022419194,0.0943058855696965,-0.0703068644126176,0.154700377684167,0.0227895000503418,0.0839949711952088,0.0293665278950212,0.112983133553353,0.0582896018366247,0.176799375664237,0.071278228364161,0.0737136837472632,0.0613160014701503,0.0208613759496876,-0.00273350134897416,0.031707146731803,0.104628378794693
"GSDMA",0.630368113180146,0.157409541740553,0.35043875139449,0.266992754456811,0.53386152306017,0.30686874238685,0.412559341646642,0.623058788588786,0.287017560508016,0.0107819469323021,0.283512692193797,0.34034195473044,0.146696546915097,0.348368283252571,0.124998992696362,0.0352279951533749,0.205411678809466,0.13663795107572,0.212688257045774,0.109018982512094,1,0.145579051539518,0.294563708287425,0.0925521760600709,0.474748412300651,0.441796427325832,0.505575024597768,0.242039823905595,0.43287702444532,0.402496750474747,0.256156238629934,0.413843851304453,0.582187087473913,0.312223008385944,-0.00676310059901523,0.249941688470897,0.0953969640259839,0.524086476957882
"GSDMB",0.0600646333901065,0.184896250132378,0.156615533275993,0.247260342937461,0.0570316422401388,0.193840665457112,0.093707041557945,0.0700044020918095,0.36852431915345,0.165929130774285,0.0196357247063894,0.0624179995305776,0.245290107660345,0.185326088189685,0.219156082704058,0.17536705857497,-0.0175003439271075,0.0184382057383989,0.142722497764132,-0.0109294022419194,0.145579051539518,1,0.0159514061201798,0.171707826518525,0.0479343531898491,0.0390992494594295,0.0883757260299956,0.161453546949471,-0.0477849341857709,0.134177362601975,0.0379058418118691,0.101252157823509,0.0466942574249022,0.294943043425503,0.0700175903925854,0.0449335138680026,-0.0380094350161666,0.127769269717551
"GSDMC",0.229626038664558,0.267289210166085,0.29736183017284,0.196653341821282,0.273794243635868,0.279442293920689,0.210674666463537,0.218379557836826,0.309687183071489,0.0590902704324658,0.240389781337605,0.293406134417584,-0.011698802946182,0.219408848844632,0.17100171155531,0.0530615574967767,0.147536171941269,0.202664446269221,0.220555293148862,0.0943058855696965,0.294563708287425,0.0159514061201798,1,0.0947101071284233,0.0627571830980092,0.0596115119679272,0.209559994871455,0.192521133311925,0.111420514794307,0.146887385267405,0.200055295965712,0.180521046115529,0.184898511325646,0.242160356770342,0.13857087383198,0.106001178618693,0.127717285255319,0.0872333051353989
"GSDMD",0.123402388045181,0.183430919113733,0.331499047249452,0.545964881050221,0.0906271571520846,0.108830719743727,0.176736815915356,0.126707964992654,0.0518040269504007,0.495175665246348,-0.0230101136200937,0.109997030040989,0.306195737443494,0.371585787957047,0.452430688810543,0.452022718288654,-0.0379504666043652,0.113403321635466,0.0599497754091596,-0.0703068644126176,0.0925521760600709,0.171707826518525,0.0947101071284233,1,0.164837309704813,0.172359893240192,0.109100471355835,0.074656339126507,-0.0922457847428693,0.231063352046666,-0.211874740055902,-0.0865497735868808,0.00959220947197954,0.0804036212131261,0.0905365982694242,0.141754470885397,0.0289916724937872,0.15558270771113
"GZMA",0.713089124547949,-0.0444217438996452,0.190981547684582,0.238445826306134,0.698125529814888,0.205826166635858,0.424814076257709,0.518314345406198,0.119257170481014,0.117501867191843,0.112443819734778,0.147845929684454,0.285249946589361,0.256479764133079,0.0195936451643843,0.00242478403645601,0.171653480792525,0.0627528386724627,-0.0366225138278735,0.154700377684167,0.474748412300651,0.0479343531898491,0.0627571830980092,0.164837309704813,1,0.771464821721958,0.59703683386587,0.157807434847215,0.405967492801648,0.590215203173813,0.184156287440955,0.348518452211209,0.601658099034727,0.320404520564805,-0.0725204217049366,0.202096566686298,0.0516624367075631,0.7462343688543
"GZMB",0.687014340900822,0.0483345830847067,0.224189241870906,0.247346501848676,0.529420154222061,0.130687725918725,0.361016776326761,0.588512375179024,0.117439655010105,0.105898125365154,0.0866579660373589,0.116356084902647,0.242914677229856,0.266903827630906,0.0209561892655554,0.0267932470088397,0.210971058563458,0.0958665485185178,0.0481899696784639,0.0227895000503418,0.441796427325832,0.0390992494594295,0.0596115119679272,0.172359893240192,0.771464821721958,1,0.531421537462439,0.161821218629254,0.350183161863822,0.528548687541426,0.134394448553969,0.319022705706783,0.507079383772949,0.243862826029648,-0.0287103847085279,0.147726810239293,0.105674202220289,0.692524812764658
"IL18",0.613624404290979,0.0201295462808198,0.404846667169265,0.366391744218211,0.61274531129557,0.235674961328513,0.579426692931065,0.510081496565059,0.309642819088922,0.0686380416928879,0.257132723419723,0.409001344734337,0.354282087504192,0.451587958751845,0.24375937237573,0.0106587998498073,0.323590137760872,0.156643165279038,0.172534715754644,0.0839949711952088,0.505575024597768,0.0883757260299956,0.209559994871455,0.109100471355835,0.59703683386587,0.531421537462439,1,0.421669487900176,0.51672866060309,0.51788719050245,0.172592795336981,0.414641966513321,0.624874443821554,0.370011902647959,-0.0433359133416624,0.289807952481758,0.0451835750699532,0.569643002172208
"IL1A",0.285096222429433,0.154928172059807,0.314839872578881,0.216738763347113,0.238559142636755,0.251630312868947,0.221098044667702,0.25723980834048,0.260726204392108,-0.0347654563274951,0.252136582410776,0.324528393188156,0.193474403089706,0.331899137237441,0.257185368483894,0.0708824875327664,0.154155201500432,0.115917956434855,0.254225658424603,0.0293665278950212,0.242039823905595,0.161453546949471,0.192521133311925,0.074656339126507,0.157807434847215,0.161821218629254,0.421669487900176,1,0.394961647450171,0.178718009194173,0.148217310465702,0.217846600438806,0.350622128060846,0.289579880274117,0.0378016543730932,0.201616882720759,0.12503315105068,0.200545519380246
"IL1B",0.513472372823145,0.0387891474679445,0.230819601325868,0.0722118705143775,0.514685172844813,0.155021060620435,0.409299460066186,0.529725607548436,0.235814669997217,-0.206974806890376,0.315130189380576,0.262395049778813,0.0890748325883127,0.216762930938864,0.0490989139534522,-0.136744625372058,0.212540904248338,0.00120565144886884,0.181194993616053,0.112983133553353,0.43287702444532,-0.0477849341857709,0.111420514794307,-0.0922457847428693,0.405967492801648,0.350183161863822,0.51672866060309,0.394961647450171,1,0.411309884403653,0.237566271655255,0.4185665888697,0.589330094658944,0.221334788198957,-0.0115662763729533,0.192016714071287,0.0452666149111365,0.425900292679049
"IRF1",0.551772582601101,0.106409886611613,0.358962149031013,0.217461065470853,0.660288988800869,0.314548273540695,0.546443704369973,0.468761973867693,0.313562956222009,0.0343543339589265,0.326333410277959,0.283776378072657,0.18040575590986,0.354279103358539,0.252714104035513,0.0775411561174745,0.230772128369884,0.131873252691711,0.191498747200343,0.0582896018366247,0.402496750474747,0.134177362601975,0.146887385267405,0.231063352046666,0.590215203173813,0.528548687541426,0.51788719050245,0.178718009194173,0.411309884403653,1,0.255427125688734,0.337851002901397,0.432415637981956,0.285714281487488,0.0683758912328575,0.149353087418571,0.0870900939628296,0.552171637457125
"IRF2",0.263560260919276,0.38209385279804,0.145662974445648,-0.0461505480552168,0.391645755408441,0.593090319431934,0.173182324380453,0.251687504559884,0.561981647960957,-0.332091117042066,0.394246942546881,0.340961148208749,-0.232997761321037,0.0191875684093439,0.0052796352408844,0.0205063463318426,0.268115651890686,-0.075395814110799,0.498340139139373,0.176799375664237,0.256156238629934,0.0379058418118691,0.200055295965712,-0.211874740055902,0.184156287440955,0.134394448553969,0.172592795336981,0.148217310465702,0.237566271655255,0.255427125688734,1,0.372711291517364,0.269108711988185,0.27361181548647,0.164857968867684,0.170946547118629,0.263266182958998,0.274435370518762
"NAIP",0.486910692163445,0.153825269224176,0.354358254409383,0.128317777021121,0.395564014939511,0.340360498837329,0.401655357845964,0.475524598088202,0.455583722458326,-0.127857215446274,0.381752483719302,0.485590718328195,0.0724491296617356,0.278469741828765,0.168073704216093,-0.107815532941764,0.319769024079095,0.195080051920463,0.370959237037582,0.071278228364161,0.413843851304453,0.101252157823509,0.180521046115529,-0.0865497735868808,0.348518452211209,0.319022705706783,0.414641966513321,0.217846600438806,0.4185665888697,0.337851002901397,0.372711291517364,1,0.574338468592614,0.31605317464953,0.0364937333162777,0.240284101736989,0.0936401591965007,0.424744229638813
"NLRC4",0.671619538015792,0.115218624718191,0.351620291907412,0.212139324312588,0.613400280197539,0.259373487563622,0.494320290790529,0.611736289942335,0.325034777564813,-0.0851351185499343,0.318246344983451,0.390449081809721,0.16482581983466,0.319063051008309,0.0767607085569179,-0.0510453821832615,0.344501728395377,0.169577047883615,0.263764234042677,0.0737136837472632,0.582187087473913,0.0466942574249022,0.184898511325646,0.00959220947197954,0.601658099034727,0.507079383772949,0.624874443821554,0.350622128060846,0.589330094658944,0.432415637981956,0.269108711988185,0.574338468592614,1,0.396113147910546,0.00966280447655883,0.264750176308951,0.0832732829539771,0.585532178849055
"NLRP1",0.389700269956474,0.163414488820655,0.219903994602634,0.201253147346991,0.407116972571458,0.277894371753126,0.265124796959932,0.256765231170832,0.365371196098684,-0.0233748442597712,0.260917795698361,0.27766995848991,0.0995336842147487,0.207052432478674,0.123734181607795,0.0298349491575748,0.229444639326728,0.0952250732338816,0.253831667796995,0.0613160014701503,0.312223008385944,0.294943043425503,0.242160356770342,0.0804036212131261,0.320404520564805,0.243862826029648,0.370011902647959,0.289579880274117,0.221334788198957,0.285714281487488,0.27361181548647,0.31605317464953,0.396113147910546,1,-0.0208210725279045,0.138352864054341,0.0809603343240987,0.367769827647313
"NLRP9",-0.0325890535670189,0.161121420106433,0.156249201579942,0.0877476241025987,-0.0258208349614334,0.0750465891320819,0.0373968705712126,-0.0283209342897666,0.149467187281962,0.0256870698061762,0.0475573253809052,0.184704769050046,0.0262638493270521,0.121926950010173,0.160895722605199,0.0313818989491451,0.0870324380148116,0.105803854662783,0.183597603410947,0.0208613759496876,-0.00676310059901523,0.0700175903925854,0.13857087383198,0.0905365982694242,-0.0725204217049366,-0.0287103847085279,-0.0433359133416624,0.0378016543730932,-0.0115662763729533,0.0683758912328575,0.164857968867684,0.0364937333162777,0.00966280447655883,-0.0208210725279045,1,0.122356496330434,0.0776513032963183,0.0372234812849334
"TP53",0.233978794460106,0.226514919970134,0.301356441243343,0.451163303069427,0.0969178089488183,0.282040757547304,0.286147871947812,0.167439878439547,0.226342819151916,0.0698506783229751,0.153627799991088,0.469241349960214,0.158263138438419,0.289156694762657,0.299475412477286,0.055490634631075,0.245766768510596,0.0170283335139211,0.425340546929801,-0.00273350134897416,0.249941688470897,0.0449335138680026,0.106001178618693,0.141754470885397,0.202096566686298,0.147726810239293,0.289807952481758,0.201616882720759,0.192016714071287,0.149353087418571,0.170946547118629,0.240284101736989,0.264750176308951,0.138352864054341,0.122356496330434,1,0.0382831352744657,0.259920598745259
"TP63",0.136622560355669,0.168800060790153,0.0971582798150277,0.0773724613512254,0.0896991315166107,0.138126080758497,-0.0424921112367372,0.122949727808408,0.150347164915752,0.00172052821580465,0.113996090445628,0.117125280546026,-0.0496877922187284,0.0488526347219696,-0.00817895595831176,0.109667179573734,0.101769175405638,-0.0653241859014904,0.178043330083524,0.031707146731803,0.0953969640259839,-0.0380094350161666,0.127717285255319,0.0289916724937872,0.0516624367075631,0.105674202220289,0.0451835750699532,0.12503315105068,0.0452666149111365,0.0870900939628296,0.263266182958998,0.0936401591965007,0.0832732829539771,0.0809603343240987,0.0776513032963183,0.0382831352744657,1,0.0836894478365646
"ZBP1",0.792179318429159,0.0645829703347068,0.278684629998962,0.253648881367478,0.611551933218621,0.275285043427802,0.42000045637913,0.589110112147421,0.260578842605303,0.0337513150251479,0.195462752911281,0.231641090230201,0.231834657731344,0.291330928440428,0.104780534678824,0.0623400499417122,0.247151825773938,0.0282611173269836,0.162450849181532,0.104628378794693,0.524086476957882,0.127769269717551,0.0872333051353989,0.15558270771113,0.7462343688543,0.692524812764658,0.569643002172208,0.200545519380246,0.425900292679049,0.552171637457125,0.274435370518762,0.424744229638813,0.585532178849055,0.367769827647313,0.0372234812849334,0.259920598745259,0.0836894478365646,1
